Total story drift angle (rad),Force in the actuator (kN)
0.000136389,0
0.010092766,923.2150484
0.000136389,-8.392860033
-0.010092766,-927.4141696
0.000136389,8.392860033
0.010501915,952.5911039
0.011729433,994.5556264
0.013502482,1032.321028
0.014866312,1053.303289
0.015002695,990.3609535
0.014184397,889.64432
0.011456596,621.0740445
0.00941078,407.0540897
0.006683035,142.6789319
0.005046369,0
0.002864156,-188.8394619
0,-436.4292555
-0.003000546,-633.6625116
-0.005864702,-780.5383406
-0.00804695,-872.8567317
-0.010774681,-960.984898
-0.01254773,-1007.144094
-0.014184397,-1028.126355
-0.015275532,-1028.126355
-0.015139149,-986.1618323
-0.013775248,-851.8744704
-0.01118383,-604.2864561
-0.00804695,-314.7325848
-0.004500816,4.196434465
-0.00177305,255.9826981
0.000545554,440.6257077
0.003136936,625.2687174
0.005182759,734.3746968
0.007364965,835.0913303
0.009138014,914.8212543
0.011729433,998.7502994
0.013502482,1036.520149
0.015139149,1061.697083
0.015002695,990.3609535
0.014048014,877.0558529
0.011320213,591.697989
0.008865248,352.5006552
0.006683035,138.4824797
0.005182759,-4.196434465
0.002864156,-197.2323665
0,-444.82216
-0.003273319,-654.6447729
-0.005319149,-776.3392194
-0.007092199,-856.0735916
-0.008728865,-927.4141696
-0.010092766,-969.3786922
-0.01159305,-998.7502994
-0.013775248,-1023.931682
-0.015548298,-1036.520149
-0.015139149,-981.9671593
-0.013911631,-851.8744704
-0.01118383,-600.0917832
-0.008183333,-318.9290371
-0.004500816,4.196434465
-0.00163666,260.1791503
0.000545554,440.6257077
0.003136936,625.2687174
0.005182759,725.9853509
0.007228582,830.8922091
0.009274397,914.8212543
0.01159305,994.5556264
0.013638865,1049.108616
0.016639362,1091.073139
0.018821631,1112.0554
0.020185461,1120.449194
0.020185461,1070.090877
0.019503546,973.5733651
0.017730496,793.1268077
0.015821064,604.2864561
0.014184397,444.82216
0.012138582,264.3756026
0.00941078,4.196434465
0.006819418,-226.6075323
0.003409709,-461.6097483
0.00163666,-574.9104007
-0.000409165,-684.0208283
-0.003000546,-784.7330136
-0.006001092,-881.2505258
-0.008319716,-935.8035155
-0.011047447,-1002.949421
-0.013502482,-1032.321028
-0.016366596,-1049.108616
-0.018821631,-1049.108616
-0.020185461,-1049.108616
-0.020458298,-986.1618323
-0.019367163,-885.449647
-0.017184965,-692.4101743
-0.014593546,-449.016833
-0.01254773,-272.7685071
-0.009138014,4.196434465
-0.006683035,209.8217232
-0.004228043,369.2864642
-0.00177305,516.162738
0.000409165,629.4633904
0.002864156,742.768491
0.006001092,851.8744704
0.009274397,948.3964309
0.013093262,1036.520149
0.016502979,1091.073139
0.018821631,1112.0554
0.020458298,1128.842988
0.020321844,1070.090877
0.019639929,969.3786922
0.017866879,780.5383406
0.015957447,600.0917832
0.014184397,444.82216
0.012274965,243.3933413
0.009683546,8.392860033
0.006819418,-239.196889
0.004364433,-419.6434465
0.002182213,-553.9281394
0.000272777,-663.038567
-0.00177305,-755.3569581
-0.004773596,-851.8744704
-0.007910496,-948.3964309
-0.010501915,-1002.949421
-0.012684113,-1032.321028
-0.015957447,-1053.303289
-0.018548794,-1053.303289
-0.020458298,-1057.50241
-0.020321844,-994.5556264
-0.01923078,-889.64432
-0.017048582,-700.8039684
-0.014457163,-449.016833
-0.01254773,-276.9649593
-0.009138014,0
-0.006546645,205.625271
-0.004364433,360.8935597
-0.00163666,511.9636168
0.000818333,633.6625116
0.003000546,751.1622851
0.006137482,847.6797974
0.00941078,948.3964309
0.013502482,1044.913943
0.016912199,1091.073139
0.019094397,1107.860727
0.021685745,1124.643867
0.024277163,1107.860727
0.027414043,1078.484672
0.030141844,1057.50241
0.030141844,1011.338767
0.030005461,948.3964309
0.029323546,860.2682646
0.027414043,675.6270342
0.024822695,440.6257077
0.022094894,205.625271
0.019503546,0
0.018139645,-125.8931229
0.015139149,-331.5183939
0.013093262,-457.4106271
0.010638298,-579.1095219
0.008183333,-684.0208283
0.005046369,-772.1445464
0.00190944,-851.8744704
-0.00163666,-927.4141696
-0.006001092,-986.1618323
-0.00941078,-1015.537888
-0.013229645,-1032.321028
-0.017321348,-1023.931682
-0.021412979,-1011.338767
-0.02591383,-981.9671593
-0.030141844,-960.984898
-0.030278227,-877.0558529
-0.028914326,-763.7507523
-0.026868511,-608.4811291
-0.024549929,-432.2328032
-0.021822128,-226.6075323
-0.019639929,-75.53569581
-0.018412411,0
-0.01609383,146.8753842
-0.013366099,289.5538713
-0.010365532,415.4469942
-0.007910496,511.9636168
-0.005728312,583.3041949
-0.002864156,667.23324
0,742.768491
0.003136936,809.9099478
0.006410255,868.6620587
0.009138014,919.0203754
0.012411348,973.5733651
0.015139149,998.7502994
0.018548794,1023.931682
0.021685745,1032.321028
0.02550461,1028.126355
0.028368794,1023.931682
0.030278227,1015.537888
0.030278227,948.3964309
0.029323546,839.2860033
0.027959645,705.0030896
0.025368227,482.5920096
0.022640496,247.5897935
0.019639929,0
0.016502979,-197.2323665
0.014457163,-310.5361326
0.012138582,-436.4292555
0.009001631,-574.9104007
0.005728312,-675.6270342
0.002727766,-746.9676122
-0.000681942,-818.303742
-0.004228043,-872.8567317
-0.007092199,-906.4319083
-0.011865816,-927.4141696
-0.015684681,-935.8035155
-0.019503546,-944.1973097
-0.023322411,-935.8035155
-0.026868511,-914.8212543
-0.030141844,-902.2327871
-0.030141844,-851.8744704
-0.029459929,-746.9676122
-0.027823262,-633.6625116
-0.025640993,-478.3928884
-0.022913262,-289.5538713
-0.020458298,-130.0895752
-0.018139645,4.196434465
-0.016366596,100.7144094
-0.013775248,214.0181755
-0.011729433,302.1432281
-0.008592482,423.8398987
-0.005728312,507.7689439
-0.002864156,587.4988678
-0.000818333,637.8571846
0.002182213,713.3924355
0.004909986,767.9498735
0.007774113,814.109069
0.010911064,864.4673857
0.014457163,906.4319083
0.018276028,940.0026367
0.021549362,960.984898
0.025368227,965.179571
0.030141844,948.3964309
0.034233475,927.4141696
0.038325177,906.4319083
0.04023461,885.449647
0.040098227,801.5206019
0.038734326,667.23324
0.036961277,507.7689439
0.034779078,352.5006552
0.032460426,209.8217232
0.029187092,0
0.026322979,-146.8753842
0.022640496,-293.7503236
0.019367163,-411.2505419
0.015957447,-507.7689439
0.012411348,-595.892662
0.00804695,-684.0208283
0.003000546,-763.7507523
-0.000681942,-814.109069
-0.004773596,-851.8744704
-0.009001631,-868.6620587
-0.012820496,-881.2505258
-0.018821631,-877.0558529
-0.025231844,-864.4673857
-0.030141844,-835.0913303
-0.036006525,-801.5206019
-0.040370993,-776.3392194
-0.040370993,-709.1977626
-0.038870709,-604.2864561
-0.036688511,-469.9990943
-0.034779078,-356.6971074
-0.031914894,-214.0181755
-0.02864156,-79.73214807
-0.026868511,0
-0.024549929,88.12505258
-0.021412979,188.8394619
-0.018139645,281.1609668
-0.01432078,377.6793687
-0.011047447,453.2159542
-0.006819418,532.9458781
-0.003136936,595.892662
0.001363887,667.23324
0.005864702,717.5915567
0.010092766,759.5560793
0.014457163,797.3214807
0.018276028,822.5028632
0.022913262,835.0913303
0.027141277,826.6975361
0.029459929,822.5028632
0.029732695,784.7330136
0.030005461,818.303742
0.030687376,830.8922091
0.031505745,822.5028632
0.031778511,780.5383406
0.032324043,818.303742
0.033006028,822.5028632
0.035051844,818.303742
0.037370426,809.9099478
0.04023461,797.3214807
0.040098227,725.9853509
0.039552624,663.038567
0.03805234,528.7512051
0.036415745,432.2328032
0.034506241,331.5183939
0.032324043,201.4288187
0.029869078,92.32150484
0.027550496,0
0.02373156,-134.2860274
0.019776312,-243.3933413
0.015821064,-335.7148461
0.011729433,-419.6434465
0.00763773,-495.1804767
0.004364433,-545.5387935
0.000545554,-604.2864561
-0.003273319,-646.2509787
-0.007092199,-675.6270342
-0.011865816,-709.1977626
-0.016230213,-734.3746968
-0.020867447,-746.9676122
-0.026732128,-751.1622851
-0.031505745,-746.9676122
-0.036006525,-734.3746968
-0.039007092,-725.9853509
-0.040643759,-717.5915567
-0.040098227,-637.8571846
-0.039007092,-558.1272606
-0.036688511,-444.82216
-0.034369858,-327.3219416
-0.031232979,-188.8394619
-0.026459362,0
-0.023458794,96.5179571
-0.019639929,201.4288187
-0.015821064,281.1609668
-0.01254773,348.3042029
-0.008728865,415.4469942
-0.005455539,469.9990943
-0.00163666,516.162738
0.00163666,558.1272606
0.006546645,612.6802503
0.010365532,654.6447729
0.014729929,688.2155013
0.019094397,713.3924355
0.023458794,730.1800239
0.027550496,742.768491
0.031778511,746.9676122
0.037506809,738.573818
0.04200766,730.1800239
0.046781206,713.3924355
0.049099858,705.0030896
0.049236241,679.8217071
0.049236241,654.6447729
0.049918156,692.4101743
0.050736525,696.6092954
0.050327305,650.4456517
0.049509007,574.9104007
0.048145106,461.6097483
0.046644823,373.4829164
0.04650844,390.2682807
0.045962908,352.5006552
0.044326241,272.7685071
0.04159844,167.8572007
0.038188794,58.74988678
0.036279291,0
0.033142411,-75.53569581
0.028777943,-180.4465574
0.024413546,-255.9826981
0.020321844,-318.9290371
0.015548298,-390.2682807
0.010774681,-444.82216
0.005591929,-511.9636168
0.000681942,-558.1272606
-0.004364433,-595.892662
-0.00941078,-625.2687174
-0.015002695,-654.6447729
-0.022231348,-675.6270342
-0.028232411,-675.6270342
-0.035188227,-675.6270342
-0.040098227,-667.23324
-0.04473539,-654.6447729
-0.048827092,-642.0563057
-0.050327305,-637.8571846
-0.050327305,-579.1095219
-0.049099858,-499.3751497
-0.046781206,-398.6611852
-0.043644326,-276.9649593
-0.040643759,-176.2501052
-0.036552128,-54.55387935
-0.034506241,0
0,0
